OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
9494,6926,0,96,247,252.36,2008-02-28T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,692696,09/06/2015 1:33,63.84681021,252.364278,20,53,5,20/12/2012 1:39,901393
9497,6926,0,95,269,269.24,,1,1991-01-03T00:00:00.000,,-1,692695,09/06/2015 1:33,66.2200661,269.2432715,20,53,5,20/12/2012 1:39,901393
9500,7420,0,57,112,104.43,,0,1991-01-03T00:00:00.000,,-1,742057,09/06/2015 1:33,42.09541148,104.429897,20,53,5,20/12/2012 1:39,901393
9510,6926,0,22,137,140.11,,1,1991-01-03T00:00:00.000,,-1,692622,09/06/2015 1:33,57.05673716,140.105295,20,53,5,20/12/2012 1:39,901393
9511,6926,0,27,372,371.76,,1,1991-01-03T00:00:00.000,,-1,692627,09/06/2015 1:33,78.84669788,371.757218,20,53,5,20/12/2012 1:39,901393
9523,7004,0,7,95,99.87,,0,1899-12-30T00:00:00.000,,-1,70047,09/06/2015 1:33,44.63735206,99.8737855,20,53,5,20/12/2012 1:39,901393
9524,6929,0,114,87,87.39,,1,1991-01-03T00:00:00.000,,-1,6929114,09/06/2015 1:33,37.39434079,87.3909,20,53,5,20/12/2012 1:39,901393
9525,6928,0,18,259,250.28,2014-06-23T00:00:00.000,0,1991-01-03T00:00:00.000,,-1,692818,09/06/2015 1:33,63.39146543,250.2776455,20,53,5,20/12/2012 1:39,901393
9544,7011,0,2,223,223.65,,1,1991-01-03T00:00:00.000,,-1,70112,09/06/2015 1:33,64.00312993,223.651466,20,53,5,20/12/2012 1:39,901393
9579,7011,0,1,62,59.83,,1,1991-01-03T00:00:00.000,,-1,70111,09/06/2015 1:33,36.79779169,59.828285,20,53,5,20/12/2012 1:39,901393
