OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
9445,7452,0,21,353,348.78,,0,1991-01-03T00:00:00.000,,-1,745221,09/06/2015 1:33,78.07868384,348.783057,21,55,5,20/12/2012 1:39,543345
9487,7455,0,30,13,15.23,,2,1991-01-03T00:00:00.000,,-1,745530,09/06/2015 1:33,15.70051292,15.226851,21,55,5,20/12/2012 1:39,543345
10045,6921,1,57,715.4493,715.3,,1,1991-01-03T00:00:00.000,,-1,692157,09/06/2015 1:33,107.5399743,715.298064,21,55,5,20/12/2012 1:39,543345
10046,6921,1,59,265.0518927,264.96,,1,1991-01-03T00:00:00.000,,-1,692159,09/06/2015 1:33,72.2196821,264.9640315,21,55,5,20/12/2012 1:39,543345
10850,6936,1,145,294.47555,294.49,,1,1991-01-03T00:00:00.000,,-1,6936145,09/06/2015 1:33,69.38839739,294.485958,21,55,5,20/12/2012 1:39,543345
10858,6936,1,36,436.98395,436.7,,1,1991-01-03T00:00:00.000,,-1,693636,09/06/2015 1:33,87.64137351,436.696835,21,55,5,20/12/2012 1:39,543345
10864,6936,1,127,437.82155,437.82,,1,1991-01-03T00:00:00.000,,-1,6936127,09/06/2015 1:33,85.47934096,437.8181335,21,55,5,20/12/2012 1:39,543345
10867,6936,1,52,566.7739,566.64,,1,1991-01-03T00:00:00.000,,-1,693652,09/06/2015 1:33,97.85907709,566.637306,21,55,5,20/12/2012 1:39,543345
10871,6920,0,35,502,518.7,,1,1899-12-30T00:00:00.000,,-1,692035,09/06/2015 1:33,95.33973832,518.7035675,21,55,5,20/12/2012 1:39,543345
10943,6936,1,4,431.85915,431.83,,1,1991-01-03T00:00:00.000,,-1,69364,09/06/2015 1:33,86.96380484,431.8256675,21,55,5,20/12/2012 1:39,543345
10945,6936,1,23,412.1962,412.21,,1,1991-01-03T00:00:00.000,,-1,693623,09/06/2015 1:33,84.07866208,412.212103,21,55,5,20/12/2012 1:39,543345
10953,6936,1,144,310.4758,310.41,,1,1991-01-03T00:00:00.000,,-1,6936144,09/06/2015 1:33,70.23992245,310.413576,21,55,5,20/12/2012 1:39,543345
10956,6936,1,162,688.7314996,688.59,,1,1991-01-03T00:00:00.000,,-1,6936162,09/06/2015 1:33,109.5717903,688.593852,21,55,5,20/12/2012 1:39,543345
10972,6936,1,6,436.6846,436.68,,1,1991-01-03T00:00:00.000,,-1,69366,09/06/2015 1:33,87.96190637,436.6750005,21,55,5,20/12/2012 1:39,543345
11006,6936,1,26,569.8944,569.99,2010-11-23T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693626,09/06/2015 1:33,98.16534659,569.9888665,21,55,5,20/12/2012 1:39,543345
11013,6936,1,60,488.53745,488.85,,1,1991-01-03T00:00:00.000,,-1,693660,09/06/2015 1:33,91.56762577,488.85087,21,55,5,20/12/2012 1:39,543345
