OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
6340,7499,0,52,44,46.66,,1,1899-12-30T00:00:00.000,,-1,749952,09/06/2015 1:33,27.91936341,46.6602855,18,52,5,20/12/2012 1:39,391341
6345,7499,0,12,29,29.7,,1,1899-12-30T00:00:00.000,,-1,749912,09/06/2015 1:33,23.80433304,29.7021925,18,52,5,20/12/2012 1:39,391341
6563,7499,0,11,28,28.51,,1,1899-12-30T00:00:00.000,,-1,749911,09/06/2015 1:33,24.17039844,28.505329,18,52,5,20/12/2012 1:39,391341
6566,7499,0,123,222,218.57,,0,2004-08-09T00:00:00.000,,-1,7499123,09/06/2015 1:33,90.84125584,218.572277,18,52,5,20/12/2012 1:39,391341
6929,7406,0,5,173467,174560.94,2005-01-09T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,74065,09/06/2015 1:33,2330.290474,174560.9412,18,52,5,20/12/2012 1:39,391341
6937,7466,0,20,169,175.4,,0,1899-12-30T00:00:00.000,,-1,746620,09/06/2015 1:33,53.47251447,175.395138,18,52,5,20/12/2012 1:39,391341
9128,6916,0,97,526,534.42,,1,1991-01-03T00:00:00.000,,-1,691697,09/06/2015 1:33,92.87319272,534.416401,18,52,5,20/12/2012 1:39,391341
9130,7499,0,8,123,124.3,,1,2004-08-09T00:00:00.000,,-1,74998,09/06/2015 1:33,47.16190808,124.2982355,18,52,5,20/12/2012 1:39,391341
9134,7499,0,9,143,143.09,,1,2004-08-09T00:00:00.000,,-1,74999,09/06/2015 1:33,50.34560642,143.0949365,18,52,5,20/12/2012 1:39,391341
9437,6916,0,55,283,291.19,,1,1991-01-03T00:00:00.000,,-1,691655,09/06/2015 1:33,72.93702063,291.191415,18,52,5,20/12/2012 1:39,391341
9440,7465,0,55,623,652.53,2012-12-23T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,746555,09/06/2015 1:33,126.0982701,652.5345685,18,52,5,20/12/2012 1:39,391341
9470,7467,0,74,15,16.07,,1,1991-01-03T00:00:00.000,,-1,746774,09/06/2015 1:33,18.5204127,16.068511,18,52,5,20/12/2012 1:39,391341
9471,7467,0,59,136,131.8,,1,2004-08-11T00:00:00.000,,-1,746759,09/06/2015 1:33,49.39548389,131.797191,18,52,5,20/12/2012 1:39,391341
9486,6915,0,61,181,172.92,,1,1991-01-03T00:00:00.000,,-1,691561,09/06/2015 1:33,56.7662305,172.924336,18,52,5,20/12/2012 1:39,391341
9610,6914,0,88,228,222.41,,1,1991-01-03T00:00:00.000,,-1,691488,09/06/2015 1:33,73.77274401,222.4120915,18,52,5,20/12/2012 1:39,391341
9624,6914,0,92,455,453.27,,1,1991-01-03T00:00:00.000,,-1,691492,09/06/2015 1:33,89.29274202,453.2732725,18,52,5,20/12/2012 1:39,391341
9628,6914,0,97,459,447.32,,1,1991-01-03T00:00:00.000,,-1,691497,09/06/2015 1:33,88.84984442,447.3249865,18,52,5,20/12/2012 1:39,391341
9634,6914,0,98,221,224.83,,0,1991-01-03T00:00:00.000,,-1,691498,09/06/2015 1:33,73.58138542,224.8266735,18,52,5,20/12/2012 1:39,391341
9639,6915,0,5,412,409.8,,1,1991-01-03T00:00:00.000,,-1,69155,09/06/2015 1:33,84.51517892,409.804849,18,52,5,20/12/2012 1:39,391341
9649,6915,0,13,453,447.39,,1,1991-01-03T00:00:00.000,,-1,691513,09/06/2015 1:33,88.54549272,447.3859955,18,52,5,20/12/2012 1:39,391341
9660,6914,0,93,228,218.95,,0,1991-01-03T00:00:00.000,,-1,691493,09/06/2015 1:33,73.10193631,218.947133,18,52,5,20/12/2012 1:39,391341
9664,6914,0,102,452,441.26,,1,1991-01-03T00:00:00.000,,-1,6914102,09/06/2015 1:33,88.14253866,441.255863,18,52,5,20/12/2012 1:39,391341
9712,6915,0,7,386,386.24,,1,1991-01-03T00:00:00.000,,-1,69157,09/06/2015 1:33,85.12789846,386.2440435,18,52,5,20/12/2012 1:39,391341
9721,6915,0,12,453,446.29,,1,1991-01-03T00:00:00.000,,-1,691512,09/06/2015 1:33,88.67290649,446.2863965,18,52,5,20/12/2012 1:39,391341
9726,6915,0,11,225,228.02,,1,1991-01-03T00:00:00.000,,-1,691511,09/06/2015 1:33,69.06228745,228.019846,18,52,5,20/12/2012 1:39,391341
9728,6915,0,8,417,418.27,,1,1991-01-03T00:00:00.000,,-1,69158,09/06/2015 1:33,88.19745827,418.2699755,18,52,5,20/12/2012 1:39,391341
9729,6914,0,72,253,252.65,,1,1991-01-03T00:00:00.000,,-1,691472,09/06/2015 1:33,64.79987826,252.6548375,18,52,5,20/12/2012 1:39,391341
9748,6914,0,70,444,443.32,,1,1991-01-03T00:00:00.000,,-1,691470,09/06/2015 1:33,84.68988401,443.319361,18,52,5,20/12/2012 1:39,391341
9755,6915,0,24,450,442.59,,1,1991-01-03T00:00:00.000,,-1,691524,09/06/2015 1:33,88.73888789,442.587376,18,52,5,20/12/2012 1:39,391341
9760,6915,0,41,452,447.71,,1,1991-01-03T00:00:00.000,,-1,691541,09/06/2015 1:33,88.73325022,447.713346,18,52,5,20/12/2012 1:39,391341
9763,6915,0,40,454,429.07,,1,1991-01-03T00:00:00.000,,-1,691540,09/06/2015 1:33,87.61782554,429.0684625,18,52,5,20/12/2012 1:39,391341
9765,6915,0,39,443,454.87,,1,1991-01-03T00:00:00.000,,-1,691539,09/06/2015 1:33,88.7919588,454.8714915,18,52,5,20/12/2012 1:39,391341
9768,6915,0,38,453,443.79,,1,1991-01-03T00:00:00.000,,-1,691538,09/06/2015 1:33,88.21093476,443.791544,18,52,5,20/12/2012 1:39,391341
9772,6914,0,99,240,242.15,,0,1991-01-03T00:00:00.000,,-1,691499,09/06/2015 1:33,74.74270689,242.1506145,18,52,5,20/12/2012 1:39,391341
9774,6915,0,4,407,411.11,,1,1991-01-03T00:00:00.000,,-1,69154,09/06/2015 1:33,84.56613149,411.1075055,18,52,5,20/12/2012 1:39,391341
9784,6915,0,14,450,450.93,,1,1991-01-03T00:00:00.000,,-1,691514,09/06/2015 1:33,88.99525201,450.9252595,18,52,5,20/12/2012 1:39,391341
9790,6914,0,74,458,452.15,,1,1991-01-03T00:00:00.000,,-1,691474,09/06/2015 1:33,88.52695284,452.1531545,18,52,5,20/12/2012 1:39,391341
9794,6914,0,73,199,206.88,,1,1991-01-03T00:00:00.000,,-1,691473,09/06/2015 1:33,60.01155258,206.8842645,18,52,5,20/12/2012 1:39,391341
9804,6914,0,71,452,454.21,,0,1991-01-03T00:00:00.000,,-1,691471,09/06/2015 1:33,85.39671913,454.205011,18,52,5,20/12/2012 1:39,391341
9809,6915,0,21,459,450.33,,1,1991-01-03T00:00:00.000,,-1,691521,09/06/2015 1:33,88.9325345,450.327864,18,52,5,20/12/2012 1:39,391341
9824,6915,0,10,216,220.48,,1,1991-01-03T00:00:00.000,,-1,691510,09/06/2015 1:33,68.06761516,220.4772545,18,52,5,20/12/2012 1:39,391341
9835,6915,0,63,2137,2183.09,,1,1991-01-03T00:00:00.000,,-1,691563,09/06/2015 1:33,389.7320891,2183.091112,18,52,5,20/12/2012 1:39,391341
9841,6915,0,27,22,22.93,,1,1991-01-03T00:00:00.000,,-1,691527,09/06/2015 1:33,19.85035961,22.9261395,18,52,5,20/12/2012 1:39,391341
9855,6915,0,53,572,580.76,,1,1991-01-03T00:00:00.000,,-1,691553,09/06/2015 1:33,101.78424,580.759893,18,52,5,20/12/2012 1:39,391341
9856,6916,0,8,292,287.58,2008-07-31T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,69168,09/06/2015 1:33,75.46010097,287.5844165,18,52,5,20/12/2012 1:39,391341
9858,6915,0,31,433,433.02,,1,1991-01-03T00:00:00.000,,-1,691531,09/06/2015 1:33,92.05243293,433.0150085,18,52,5,20/12/2012 1:39,391341
9860,6916,0,9,282,300.02,2008-07-31T00:00:00.000,0,1991-01-03T00:00:00.000,,-1,69169,09/06/2015 1:33,76.50137798,300.015808,18,52,5,20/12/2012 1:39,391341
9866,7467,0,76,23,21.11,,1,1991-01-03T00:00:00.000,,-1,746776,09/06/2015 1:33,27.05831179,21.10959,18,52,5,20/12/2012 1:39,391341
9868,6916,0,66,187,185.29,,1,1991-01-03T00:00:00.000,,-1,691666,09/06/2015 1:33,61.23731288,185.294009,18,52,5,20/12/2012 1:39,391341
9871,7001,0,17,324,325.25,,0,2004-08-11T00:00:00.000,,-1,700117,09/06/2015 1:33,77.35495656,325.250413,18,52,5,20/12/2012 1:39,391341
9876,7499,0,86,111,110.29,,1,1899-12-30T00:00:00.000,,-1,749986,09/06/2015 1:33,44.47548524,110.2865805,18,52,5,20/12/2012 1:39,391341
9885,6915,0,22,449,465.93,,1,1991-01-03T00:00:00.000,,-1,691522,09/06/2015 1:33,90.12279525,465.9286595,18,52,5,20/12/2012 1:39,391341
9894,6915,0,43,448,442.13,,1,1991-01-03T00:00:00.000,,-1,691543,09/06/2015 1:33,84.53912759,442.130632,18,52,5,20/12/2012 1:39,391341
9902,6915,0,28,96,95.08,,1,1991-01-03T00:00:00.000,,-1,691528,09/06/2015 1:33,44.18923315,95.0802055,18,52,5,20/12/2012 1:39,391341
9928,6915,0,37,224,223.63,,1,1991-01-03T00:00:00.000,,-1,691537,09/06/2015 1:33,72.71813204,223.63002,18,52,5,20/12/2012 1:39,391341
9931,6915,0,68,922,907.77,,1,1991-01-03T00:00:00.000,,-1,691568,09/06/2015 1:33,120.928159,907.772226,18,52,5,20/12/2012 1:39,391341
9933,6915,0,30,638,636.68,,1,1991-01-03T00:00:00.000,,-1,691530,09/06/2015 1:33,112.1278494,636.68391,18,52,5,20/12/2012 1:39,391341
9937,6915,0,33,449,447.39,,1,1991-01-03T00:00:00.000,,-1,691533,09/06/2015 1:33,88.2814836,447.3881985,18,52,5,20/12/2012 1:39,391341
9946,6916,0,7,319,308.42,,0,1991-01-03T00:00:00.000,,-1,69167,09/06/2015 1:33,77.80405302,308.424357,18,52,5,20/12/2012 1:39,391341
9956,6916,0,67,190,190.62,,1,1991-01-03T00:00:00.000,,-1,691667,09/06/2015 1:33,61.69787131,190.6188315,18,52,5,20/12/2012 1:39,391341
9960,7467,0,57,188,188.16,,1,2004-08-11T00:00:00.000,,-1,746757,09/06/2015 1:33,68.73789373,188.1639445,18,52,5,20/12/2012 1:39,391341
9961,7001,0,88,163,162.86,,0,2004-08-11T00:00:00.000,,-1,700188,09/06/2015 1:33,54.0421411,162.86115,18,52,5,20/12/2012 1:39,391341
9978,7467,0,9,337,335.18,,1,1991-01-03T00:00:00.000,,-1,74679,09/06/2015 1:33,77.98523697,335.178032,18,52,5,20/12/2012 1:39,391341
10007,7406,0,2,1718,1682.74,,0,1899-12-30T00:00:00.000,,-1,74062,09/06/2015 1:33,281.7492114,1682.735711,18,52,5,20/12/2012 1:39,391341
10014,6915,0,32,463,468.22,,1,1991-01-03T00:00:00.000,,-1,691532,09/06/2015 1:33,88.3943238,468.221845,18,52,5,20/12/2012 1:39,391341
10059,6916,0,51,149,146.04,,1,1991-01-03T00:00:00.000,,-1,691651,09/06/2015 1:33,61.48980538,146.040938,18,52,5,20/12/2012 1:39,391341
10060,7467,0,62,142,143.07,,1,1991-01-03T00:00:00.000,,-1,746762,09/06/2015 1:33,47.38450201,143.0682945,18,52,5,20/12/2012 1:39,391341
10061,6916,0,70,192,197.15,,1,1991-01-03T00:00:00.000,,-1,691670,09/06/2015 1:33,61.93929106,197.146698,18,52,5,20/12/2012 1:39,391341
10062,7467,0,60,52,51.75,,1,1991-01-03T00:00:00.000,,-1,746760,09/06/2015 1:33,35.03650552,51.751029,18,52,5,20/12/2012 1:39,391341
10071,7465,0,6,559,570.52,2012-12-23T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,74656,09/06/2015 1:33,103.5644832,570.516104,18,52,5,20/12/2012 1:39,391341
10072,7465,0,8,233,159.29,2012-12-23T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,74658,09/06/2015 1:33,61.80103742,159.2927695,18,52,5,20/12/2012 1:39,391341
10082,6915,0,67,64,65.52,,0,1899-12-30T00:00:00.000,,-1,691567,09/06/2015 1:33,70.92378915,65.524773,18,52,5,20/12/2012 1:39,391341
10084,6916,0,46,299,300.59,,0,1991-01-03T00:00:00.000,,-1,691646,09/06/2015 1:33,74.00650738,300.588598,18,52,5,20/12/2012 1:39,391341
10089,7465,0,11,456,435.66,2012-12-23T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,746511,09/06/2015 1:33,88.58795974,435.6574375,18,52,5,20/12/2012 1:39,391341
10090,7467,0,7,1780,1769.42,,1,1991-01-03T00:00:00.000,,-1,74677,09/06/2015 1:33,179.6090576,1769.420431,18,52,5,20/12/2012 1:39,391341
10099,6915,0,57,581,576.92,,1,1991-01-03T00:00:00.000,,-1,691557,09/06/2015 1:33,102.1595774,576.922674,18,52,5,20/12/2012 1:39,391341
10101,6916,0,116,291,294.18,,0,1991-01-03T00:00:00.000,,-1,6916116,09/06/2015 1:33,75.80787095,294.182776,18,52,5,20/12/2012 1:39,391341
10103,6915,0,58,700,714.37,,1,1991-01-03T00:00:00.000,,-1,691558,09/06/2015 1:33,110.4142421,714.3652575,18,52,5,20/12/2012 1:39,391341
10115,7467,0,75,14,14.6,,0,2004-08-11T00:00:00.000,,-1,746775,09/06/2015 1:33,22.64108036,14.6012355,18,52,5,20/12/2012 1:39,391341
10118,6916,0,53,300,296.09,,1,1991-01-03T00:00:00.000,,-1,691653,09/06/2015 1:33,73.53585828,296.0933595,18,52,5,20/12/2012 1:39,391341
10123,6916,0,28,350,349.38,,0,1991-01-03T00:00:00.000,,-1,691628,09/06/2015 1:33,79.87078406,349.377102,18,52,5,20/12/2012 1:39,391341
10147,6915,0,55,577,571.85,,1,1991-01-03T00:00:00.000,,-1,691555,09/06/2015 1:33,101.7423786,571.8490755,18,52,5,20/12/2012 1:39,391341
10148,6915,0,60,178,158.68,,1,1991-01-03T00:00:00.000,,-1,691560,09/06/2015 1:33,62.76433273,158.679684,18,52,5,20/12/2012 1:39,391341
10151,6916,0,23,145,141.34,,1,1991-01-03T00:00:00.000,,-1,691623,09/06/2015 1:33,64.89897744,141.3428175,18,52,5,20/12/2012 1:39,391341
10155,6916,0,21,288,282.21,,1,1991-01-03T00:00:00.000,,-1,691621,09/06/2015 1:33,75.07216098,282.2106985,18,52,5,20/12/2012 1:39,391341
10157,7465,0,9,476,448.43,2012-12-23T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,74659,09/06/2015 1:33,96.07050127,448.4285195,18,52,5,20/12/2012 1:39,391341
10158,6916,0,20,626,610.21,,1,1991-01-03T00:00:00.000,,-1,691620,09/06/2015 1:33,99.34939132,610.210467,18,52,5,20/12/2012 1:39,391341
10162,7467,0,4,582,582.87,,1,1991-01-03T00:00:00.000,,-1,74674,09/06/2015 1:33,112.4539696,582.874687,18,52,5,20/12/2012 1:39,391341
10164,7465,0,10,514,477.11,2012-12-23T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,746510,09/06/2015 1:33,90.39762949,477.1128255,18,52,5,20/12/2012 1:39,391341
10165,7467,0,5,340,338.72,,1,1991-01-03T00:00:00.000,,-1,74675,09/06/2015 1:33,74.68378032,338.723716,18,52,5,20/12/2012 1:39,391341
10167,7465,0,54,251,238.08,2012-12-23T00:00:00.000,0,1899-12-30T00:00:00.000,,-1,746554,09/06/2015 1:33,92.26764007,238.079481,18,52,5,20/12/2012 1:39,391341
10171,6916,0,64,194,203.22,,1,1991-01-03T00:00:00.000,,-1,691664,09/06/2015 1:33,63.19316406,203.218228,18,52,5,20/12/2012 1:39,391341
10177,7466,0,82,59,58.3,,0,1899-12-30T00:00:00.000,,-1,746682,09/06/2015 1:33,36.56826255,58.297633,18,52,5,20/12/2012 1:39,391341
10179,7467,0,15,340,341.99,,1,1991-01-03T00:00:00.000,,-1,746715,09/06/2015 1:33,74.72179363,341.985636,18,52,5,20/12/2012 1:39,391341
10205,7467,0,6,295,292.13,,1,1991-01-03T00:00:00.000,,-1,74676,09/06/2015 1:33,70.18059674,292.1256505,18,52,5,20/12/2012 1:39,391341
10207,6916,0,48,318,315.9,,1,1991-01-03T00:00:00.000,,-1,691648,09/06/2015 1:33,75.20386758,315.900951,18,52,5,20/12/2012 1:39,391341
10208,6916,0,19,349,342.37,,1,1991-01-03T00:00:00.000,,-1,691619,09/06/2015 1:33,79.66887826,342.3652275,18,52,5,20/12/2012 1:39,391341
10212,7467,0,8,433,429.74,,1,1991-01-03T00:00:00.000,,-1,74678,09/06/2015 1:33,94.72904176,429.737784,18,52,5,20/12/2012 1:39,391341
10213,6916,0,65,206,199.36,,1,1991-01-03T00:00:00.000,,-1,691665,09/06/2015 1:33,62.69868005,199.35869,18,52,5,20/12/2012 1:39,391341
10219,6916,0,57,292,280.78,,1,1991-01-03T00:00:00.000,,-1,691657,09/06/2015 1:33,69.83495916,280.775945,18,52,5,20/12/2012 1:39,391341
10222,7467,0,14,78,78.58,,1,1991-01-03T00:00:00.000,,-1,746714,09/06/2015 1:33,48.40176085,78.578342,18,52,5,20/12/2012 1:39,391341
10224,7467,0,56,216,216.98,,1,2004-08-11T00:00:00.000,,-1,746756,09/06/2015 1:33,59.01363384,216.976196,18,52,5,20/12/2012 1:39,391341
10225,7466,0,1,164,156.85,,0,1899-12-30T00:00:00.000,,-1,74661,09/06/2015 1:33,50.58837405,156.852267,18,52,5,20/12/2012 1:39,391341
10227,6916,0,98,42,39.75,,1,1991-01-03T00:00:00.000,,-1,691698,09/06/2015 1:33,28.94452828,39.7535225,18,52,5,20/12/2012 1:39,391341
10228,6916,0,81,544,518.82,,1,1991-01-03T00:00:00.000,,-1,691681,09/06/2015 1:33,99.08124532,518.823149,18,52,5,20/12/2012 1:39,391341
