OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
10180,7429,0,75,1400,1455.29,,2,1899-12-30T00:00:00.000,,-1,742975,09/06/2015 1:33,306.0069325,1455.287777,19,54,5,20/12/2012 1:39,321365
10331,6933,0,60,230,223.13,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693360,09/06/2015 1:33,68.03276376,223.128247,19,54,5,20/12/2012 1:39,321365
10334,6933,0,61,454,425.35,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693361,09/06/2015 1:33,84.24286598,425.345245,19,54,5,20/12/2012 1:39,321365
10401,6933,0,57,441,455.38,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693357,09/06/2015 1:33,85.51578313,455.383539,19,54,5,20/12/2012 1:39,321365
10422,7451,0,15,613,617.3,,0,1991-01-03T00:00:00.000,,-1,745115,09/06/2015 1:33,105.9305795,617.2964245,19,54,5,20/12/2012 1:39,321365
10502,6933,0,58,458,428.34,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693358,09/06/2015 1:33,84.19689403,428.3421975,19,54,5,20/12/2012 1:39,321365
10514,6933,0,62,454,436.83,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693362,09/06/2015 1:33,85.28711011,436.8286705,19,54,5,20/12/2012 1:39,321365
10524,6933,0,64,216,210.97,,1,1991-01-03T00:00:00.000,,-1,693364,09/06/2015 1:33,67.87326287,210.965253,19,54,5,20/12/2012 1:39,321365
10526,6933,0,65,456,429.59,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693365,09/06/2015 1:33,84.79725626,429.588682,19,54,5,20/12/2012 1:39,321365
10549,6933,0,67,146,142.67,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693367,09/06/2015 1:33,62.46818357,142.670127,19,54,5,20/12/2012 1:39,321365
10558,6933,0,81,232,241.39,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693381,09/06/2015 1:33,68.95753421,241.38684,19,54,5,20/12/2012 1:39,321365
10560,6933,0,79,448,461.94,2013-01-03T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,693379,09/06/2015 1:33,88.01286752,461.936826,19,54,5,20/12/2012 1:39,321365
10561,7430,0,42,1411,1389.79,,2,1991-01-03T00:00:00.000,,-1,743042,09/06/2015 1:33,303.7487472,1389.785718,19,54,5,20/12/2012 1:39,321365
