OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
516,7402,0,5,131345,131384.4,,0,1991-01-03T00:00:00.000,,-1,74025,06/09/2015 1:33,2333.611744,131384.4035,9,33,3,12/20/2012 1:39,832019
517,7402,0,2,2745,2765.54,,0,1991-01-03T00:00:00.000,,-1,74022,06/09/2015 1:33,312.1960619,2765.536487,9,33,3,12/20/2012 1:39,832019
2383,7402,0,1,364,359.05,,0,1991-01-03T00:00:00.000,,-1,74021,06/09/2015 1:33,71.9324636,359.0462855,9,33,3,12/20/2012 1:39,832019
3630,7401,0,4,6022,6226.41,,0,1899-12-30T00:00:00.000,,-1,74014,06/09/2015 1:33,624.9635573,6226.414715,9,33,3,12/20/2012 1:39,832019
4032,7401,0,3,6379,6337.51,,0,1991-01-03T00:00:00.000,,-1,74013,06/09/2015 1:33,366.0719638,6337.50835,9,33,3,12/20/2012 1:39,832019
4053,7401,0,1,19540,19466.83,,0,1991-01-03T00:00:00.000,,-1,74011,06/09/2015 1:33,656.1889193,19466.82588,9,33,3,12/20/2012 1:39,832019
4364,6966,0,30,2053,2059.99,,2,1991-01-03T00:00:00.000,,-1,696630,06/09/2015 1:33,343.0401378,2059.991836,9,33,3,12/20/2012 1:39,832019
4372,6966,0,31,7021,6990.81,,2,1991-01-03T00:00:00.000,,-1,696631,06/09/2015 1:33,338.5863873,6990.811329,9,33,3,12/20/2012 1:39,832019
4462,6906,0,81,360,359.56,,1,1991-01-03T00:00:00.000,,-1,690681,06/09/2015 1:33,85.10924155,359.5580505,9,33,3,12/20/2012 1:39,832019
4503,6906,0,92,339,332.29,,1,1991-01-03T00:00:00.000,,-1,690692,06/09/2015 1:33,87.94614011,332.2884285,9,33,3,12/20/2012 1:39,832019
4504,6905,0,84,4084,4070.03,,2,1991-01-03T00:00:00.000,,-1,690584,06/09/2015 1:33,306.8513395,4070.025652,9,33,3,12/20/2012 1:39,832019
4567,6905,0,62,671,674.72,2015-04-28T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,690562,06/09/2015 1:33,113.553565,674.7153075,9,33,3,12/20/2012 1:39,832019
4568,6906,0,138,356,371.17,,1,1991-01-03T00:00:00.000,,-1,6906138,06/09/2015 1:33,85.50708793,371.169235,9,33,3,12/20/2012 1:39,832019
4570,6906,0,80,364,367.58,,1,1991-01-03T00:00:00.000,,-1,690680,06/09/2015 1:33,85.35148537,367.5756655,9,33,3,12/20/2012 1:39,832019
4571,7091,0,53,552,550.69,2011-01-18T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,709153,06/09/2015 1:33,95.75125308,550.6932675,9,33,3,12/20/2012 1:39,832019
4617,7078,0,115,296,293.49,,1,1991-01-03T00:00:00.000,,-1,7078115,06/09/2015 1:33,75.22676324,293.4889755,9,33,3,12/20/2012 1:39,832019
4620,7078,0,116,306,317.99,,1,1991-01-03T00:00:00.000,,-1,7078116,06/09/2015 1:33,78.39448277,317.9851115,9,33,3,12/20/2012 1:39,832019
4632,6968,0,25,13,12.93,,1,1991-01-03T00:00:00.000,,-1,696825,06/09/2015 1:33,14.78872992,12.93026,9,33,3,12/20/2012 1:39,832019
4636,7078,0,191,24,23.52,,0,1991-01-03T00:00:00.000,,-1,7078191,06/09/2015 1:33,26.78634371,23.51556,9,33,3,12/20/2012 1:39,832019
4637,6968,0,220,407,408.65,,1,1899-12-30T00:00:00.000,,-1,6968220,06/09/2015 1:33,82.79509267,408.653494,9,33,3,12/20/2012 1:39,832019
4640,6966,0,44,3240,3434.05,,2,1991-01-03T00:00:00.000,,-1,696644,06/09/2015 1:33,1080.506258,3434.050607,9,33,3,12/20/2012 1:39,832019
4804,6968,0,106,749,743.76,,1,1991-01-03T00:00:00.000,,-1,6968106,06/09/2015 1:33,109.728865,743.76495,9,33,3,12/20/2012 1:39,832019
4807,7078,0,82,419,426.28,,1,1991-01-03T00:00:00.000,,-1,707882,06/09/2015 1:33,87.05574392,426.283612,9,33,3,12/20/2012 1:39,832019
4814,7113,0,55,434,436.22,,1,1991-01-03T00:00:00.000,,-1,711355,06/09/2015 1:33,84.18590497,436.223628,9,33,3,12/20/2012 1:39,832019
4816,6968,0,153,404,401.32,,1,1991-01-03T00:00:00.000,,-1,6968153,06/09/2015 1:33,88.48606363,401.315921,9,33,3,12/20/2012 1:39,832019
4819,7113,0,43,426,438.68,,1,1991-01-03T00:00:00.000,,-1,711343,06/09/2015 1:33,88.03639153,438.6838235,9,33,3,12/20/2012 1:39,832019
4834,6968,0,174,452,449.91,,1,1991-01-03T00:00:00.000,,-1,6968174,06/09/2015 1:33,85.05688916,449.9052735,9,33,3,12/20/2012 1:39,832019
4954,6966,0,39,16963,16947.01,,2,1991-01-03T00:00:00.000,,-1,696639,06/09/2015 1:33,525.0232766,16947.00514,9,33,3,12/20/2012 1:39,832019
4956,6966,0,43,1270,1247.85,,2,1991-01-03T00:00:00.000,,-1,696643,06/09/2015 1:33,300.625238,1247.851119,9,33,3,12/20/2012 1:39,832019
4976,7091,0,194,17,18.78,2011-01-18T00:00:00.000,2,1899-12-30T00:00:00.000,,-1,7091194,06/09/2015 1:33,36.97661538,18.778879,9,33,3,12/20/2012 1:39,832019
4977,6906,0,137,326,319.71,,1,1991-01-03T00:00:00.000,,-1,6906137,06/09/2015 1:33,105.4585369,319.705785,9,33,3,12/20/2012 1:39,832019
4978,7091,0,54,516,511.41,2011-01-18T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,709154,06/09/2015 1:33,91.33188902,511.4077085,9,33,3,12/20/2012 1:39,832019
5043,7078,0,6,706,710.79,,1,1991-01-03T00:00:00.000,,-1,70786,06/09/2015 1:33,106.2117952,710.7877865,9,33,3,12/20/2012 1:39,832019
5048,6968,0,125,429,426.68,,0,1991-01-03T00:00:00.000,,-1,6968125,06/09/2015 1:33,84.5703191,426.6775315,9,33,3,12/20/2012 1:39,832019
5052,7078,0,85,438,435.7,,1,1991-01-03T00:00:00.000,,-1,707885,06/09/2015 1:33,88.21450708,435.704713,9,33,3,12/20/2012 1:39,832019
5053,6968,0,181,1331,1340.71,,2,1991-01-03T00:00:00.000,,-1,6968181,06/09/2015 1:33,341.972061,1340.705209,9,33,3,12/20/2012 1:39,832019
5055,7113,0,38,432,439,,1,1991-01-03T00:00:00.000,,-1,711338,06/09/2015 1:33,85.36723645,439.0019785,9,33,3,12/20/2012 1:39,832019
5056,7113,0,39,504,503.99,,1,1991-01-03T00:00:00.000,,-1,711339,06/09/2015 1:33,89.58653443,503.9857915,9,33,3,12/20/2012 1:39,832019
5058,6968,0,136,430,429.14,,1,1991-01-03T00:00:00.000,,-1,6968136,06/09/2015 1:33,86.69049984,429.1353005,9,33,3,12/20/2012 1:39,832019
5120,6968,0,158,409,405.41,,1,1991-01-03T00:00:00.000,,-1,6968158,06/09/2015 1:33,84.76861484,405.407578,9,33,3,12/20/2012 1:39,832019
5121,6968,0,154,496,494.45,,1,1991-01-03T00:00:00.000,,-1,6968154,06/09/2015 1:33,93.09771215,494.4506925,9,33,3,12/20/2012 1:39,832019
5123,6968,0,225,2,2.77,,2,1899-12-30T00:00:00.000,,-1,6968225,06/09/2015 1:33,7.31301377,2.7742995,9,33,3,12/20/2012 1:39,832019
5124,6968,0,172,523,535.94,,1,1991-01-03T00:00:00.000,,-1,6968172,06/09/2015 1:33,97.56629184,535.942883,9,33,3,12/20/2012 1:39,832019
5125,6968,0,224,724,710.94,,2,1991-01-03T00:00:00.000,,-1,6968224,06/09/2015 1:33,120.8426877,710.9401125,9,33,3,12/20/2012 1:39,832019
5126,6968,0,173,413,408.29,,1,1991-01-03T00:00:00.000,,-1,6968173,06/09/2015 1:33,87.40369853,408.2875075,9,33,3,12/20/2012 1:39,832019
5248,6966,0,42,43,39.72,,2,1991-01-03T00:00:00.000,,-1,696642,06/09/2015 1:33,32.69782094,39.722744,9,33,3,12/20/2012 1:39,832019
5303,7402,0,4,1475,1459.1,,0,1991-01-03T00:00:00.000,,-1,74024,06/09/2015 1:33,189.9769724,1459.102941,9,33,3,12/20/2012 1:39,832019
5384,6966,0,41,6877,6871.86,,2,1991-01-03T00:00:00.000,,-1,696641,06/09/2015 1:33,359.7558351,6871.858071,9,33,3,12/20/2012 1:39,832019
5474,7402,0,3,10877,10878.97,,0,1991-01-03T00:00:00.000,,-1,74023,06/09/2015 1:33,746.7091156,10878.96648,9,33,3,12/20/2012 1:39,832019
5626,6966,0,45,3273,3222.11,,2,1991-01-03T00:00:00.000,,-1,696645,06/09/2015 1:33,256.8359243,3222.10959,9,33,3,12/20/2012 1:39,832019
5793,6966,0,40,1013,1004.62,,2,1991-01-03T00:00:00.000,,-1,696640,06/09/2015 1:33,218.8378536,1004.617933,9,33,3,12/20/2012 1:39,832019
6106,6966,0,50,1005,986.76,,2,1991-01-03T00:00:00.000,,-1,696650,06/09/2015 1:33,129.0307775,986.756754,9,33,3,12/20/2012 1:39,832019
6166,7078,0,29,470,463.85,,1,1991-01-03T00:00:00.000,,-1,707829,06/09/2015 1:33,86.22280609,463.848151,9,33,3,12/20/2012 1:39,832019
6181,6968,0,203,566,559.78,,1,1991-01-03T00:00:00.000,,-1,6968203,06/09/2015 1:33,106.0889508,559.7766465,9,33,3,12/20/2012 1:39,832019
6184,7078,0,63,319,320.97,,1,1991-01-03T00:00:00.000,,-1,707863,06/09/2015 1:33,80.88370434,320.971755,9,33,3,12/20/2012 1:39,832019
6188,6906,0,93,348,354.59,,1,1991-01-03T00:00:00.000,,-1,690693,06/09/2015 1:33,87.81030844,354.594975,9,33,3,12/20/2012 1:39,832019
6191,6906,0,79,714,732.72,,1,1991-01-03T00:00:00.000,,-1,690679,06/09/2015 1:33,109.0805676,732.723239,9,33,3,12/20/2012 1:39,832019
6192,7091,0,51,553,547.94,2011-01-18T00:00:00.000,0,1991-01-03T00:00:00.000,,-1,709151,06/09/2015 1:33,95.74651556,547.944863,9,33,3,12/20/2012 1:39,832019
6235,7403,0,7,9487,9487.82,,0,1899-12-30T00:00:00.000,,-1,74037,06/09/2015 1:33,969.9707319,9487.817911,9,33,3,12/20/2012 1:39,832019
6274,7078,0,1,701,706.72,,1,1991-01-03T00:00:00.000,,-1,70781,06/09/2015 1:33,107.8783214,706.7155665,9,33,3,12/20/2012 1:39,832019
6279,7078,0,28,336,338.66,,1,1991-01-03T00:00:00.000,,-1,707828,06/09/2015 1:33,80.53303676,338.660983,9,33,3,12/20/2012 1:39,832019
6283,7078,0,21,425,416.84,,1,1991-01-03T00:00:00.000,,-1,707821,06/09/2015 1:33,85.20504843,416.8448835,9,33,3,12/20/2012 1:39,832019
6307,7091,0,152,407,407.5,2011-01-18T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,7091152,06/09/2015 1:33,85.75170293,407.500001,9,33,3,12/20/2012 1:39,832019
6346,7078,0,32,468,471.27,2006-09-13T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,707832,06/09/2015 1:33,87.13914925,471.271344,9,33,3,12/20/2012 1:39,832019
6349,6968,0,109,740,737.72,,1,1991-01-03T00:00:00.000,,-1,6968109,06/09/2015 1:33,109.1231783,737.717279,9,33,3,12/20/2012 1:39,832019
6352,6968,0,68,490,501.14,,1,1991-01-03T00:00:00.000,,-1,696868,06/09/2015 1:33,97.88946636,501.137553,9,33,3,12/20/2012 1:39,832019
6357,7078,0,113,310,302.61,,1,1991-01-03T00:00:00.000,,-1,7078113,06/09/2015 1:33,76.66680352,302.612932,9,33,3,12/20/2012 1:39,832019
6358,7078,0,40,443,434.09,,1,1991-01-03T00:00:00.000,,-1,707840,06/09/2015 1:33,90.40713392,434.093196,9,33,3,12/20/2012 1:39,832019
6359,6968,0,54,336,329.33,,1,1991-01-03T00:00:00.000,,-1,696854,06/09/2015 1:33,88.5921929,329.326773,9,33,3,12/20/2012 1:39,832019
6366,7078,0,57,330,336.11,,1,1991-01-03T00:00:00.000,,-1,707857,06/09/2015 1:33,81.8838555,336.108031,9,33,3,12/20/2012 1:39,832019
6367,7078,0,55,343,337.6,,1,1991-01-03T00:00:00.000,,-1,707855,06/09/2015 1:33,74.47568779,337.6007015,9,33,3,12/20/2012 1:39,832019
6368,6968,0,21,461,468.27,,1,1991-01-03T00:00:00.000,,-1,696821,06/09/2015 1:33,89.36595904,468.2674655,9,33,3,12/20/2012 1:39,832019
6369,7078,0,62,290,298.29,,1,1991-01-03T00:00:00.000,,-1,707862,06/09/2015 1:33,70.20928598,298.287718,9,33,3,12/20/2012 1:39,832019
