OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
505,6959,0,32,282,286.45,,1,1991-01-03T00:00:00.000,,-1,695932,09/06/2015 1:33,77.41676631,286.4475605,7,31,3,20/12/2012 1:39,1073373
507,6957,0,5,275,268.97,,1,1991-01-03T00:00:00.000,,-1,69575,09/06/2015 1:33,68.35490197,268.9671515,7,31,3,20/12/2012 1:39,1073373
509,6961,0,106,417,406.79,2011-02-02T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,6961106,09/06/2015 1:33,81.75872169,406.793647,7,31,3,20/12/2012 1:39,1073373
518,6959,0,108,325,327.45,,1,1991-01-03T00:00:00.000,,-1,6959108,09/06/2015 1:33,76.3311575,327.4475,7,31,3,20/12/2012 1:39,1073373
564,6958,0,34,553,559.31,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,695834,09/06/2015 1:33,96.91725463,559.313995,7,31,3,20/12/2012 1:39,1073373
566,6958,0,123,533,517.36,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,6958123,09/06/2015 1:33,92.88277582,517.359776,7,31,3,20/12/2012 1:39,1073373
568,6958,0,30,557,556.95,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,695830,09/06/2015 1:33,96.44405435,556.9549165,7,31,3,20/12/2012 1:39,1073373
569,6957,0,99,281,279.68,,1,1991-01-03T00:00:00.000,,-1,695799,09/06/2015 1:33,76.00010075,279.68368,7,31,3,20/12/2012 1:39,1073373
570,6957,0,240,10,14.46,,2,1991-01-03T00:00:00.000,,-1,6957240,09/06/2015 1:33,23.51920783,14.464035,7,31,3,20/12/2012 1:39,1073373
571,6957,0,98,279,268.09,,1,1991-01-03T00:00:00.000,,-1,695798,09/06/2015 1:33,75.46667443,268.0925235,7,31,3,20/12/2012 1:39,1073373
574,6957,0,253,10,11.25,,2,1991-01-03T00:00:00.000,,-1,6957253,09/06/2015 1:33,22.12761909,11.250529,7,31,3,20/12/2012 1:39,1073373
859,6962,0,194,16,14.9,,0,1899-12-30T00:00:00.000,,-1,6962194,09/06/2015 1:33,33.95311222,14.899304,7,31,3,20/12/2012 1:39,1073373
862,6958,0,170,29,27.86,2012-12-24T00:00:00.000,2,1899-12-30T00:00:00.000,,-1,6958170,09/06/2015 1:33,41.90884072,27.85945,7,31,3,20/12/2012 1:39,1073373
882,6961,0,107,17,23.06,2011-02-02T00:00:00.000,2,1991-01-03T00:00:00.000,,-1,6961107,09/06/2015 1:33,37.27006624,23.0626655,7,31,3,20/12/2012 1:39,1073373
883,6958,0,29,570,565.14,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,695829,09/06/2015 1:33,95.33337149,565.142284,7,31,3,20/12/2012 1:39,1073373
885,6961,0,66,436,439.6,2011-02-02T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,696166,09/06/2015 1:33,84.95569854,439.5980905,7,31,3,20/12/2012 1:39,1073373
886,6958,0,32,562,550.74,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,695832,09/06/2015 1:33,96.08110214,550.7420145,7,31,3,20/12/2012 1:39,1073373
888,6957,0,203,369,350.37,,2,1991-01-03T00:00:00.000,,-1,6957203,09/06/2015 1:33,152.9173381,350.365544,7,31,3,20/12/2012 1:39,1073373
889,6957,0,243,10,10.18,,2,1991-01-03T00:00:00.000,,-1,6957243,09/06/2015 1:33,22.25202188,10.176979,7,31,3,20/12/2012 1:39,1073373
890,6212,0,408,544,540.01,,1,1991-01-03T00:00:00.000,,-1,6212408,09/06/2015 1:33,97.68813635,540.0066535,7,31,3,20/12/2012 1:39,1073373
894,6957,0,252,271,260.76,,1,1991-01-03T00:00:00.000,,-1,6957252,09/06/2015 1:33,72.8216839,260.755006,7,31,3,20/12/2012 1:39,1073373
1484,6958,0,124,249,240.85,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,6958124,09/06/2015 1:33,65.65918931,240.854416,7,31,3,20/12/2012 1:39,1073373
1486,6962,0,196,77,77.36,,2,1899-12-30T00:00:00.000,,-1,6962196,09/06/2015 1:33,40.91599689,77.360481,7,31,3,20/12/2012 1:39,1073373
1487,6958,0,17,323,317.05,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,695817,09/06/2015 1:33,73.35967473,317.0531685,7,31,3,20/12/2012 1:39,1073373
1897,6959,0,77,486,500.24,,1,1991-01-03T00:00:00.000,,-1,695977,09/06/2015 1:33,92.50736846,500.242683,7,31,3,20/12/2012 1:39,1073373
1898,6958,0,125,63,69.11,2012-12-24T00:00:00.000,2,1991-01-03T00:00:00.000,,-1,6958125,09/06/2015 1:33,43.1151368,69.1130635,7,31,3,20/12/2012 1:39,1073373
1901,6958,0,122,29,32.03,2012-12-24T00:00:00.000,2,1991-01-03T00:00:00.000,,-1,6958122,09/06/2015 1:33,41.46082745,32.0252185,7,31,3,20/12/2012 1:39,1073373
1902,6957,0,16,281,281.49,,1,1991-01-03T00:00:00.000,,-1,695716,09/06/2015 1:33,76.29172801,281.49021,7,31,3,20/12/2012 1:39,1073373
1903,6958,0,16,304,313.83,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,695816,09/06/2015 1:33,72.18689466,313.8309395,7,31,3,20/12/2012 1:39,1073373
1906,6962,0,183,295,321.52,,1,1991-01-03T00:00:00.000,,-1,6962183,09/06/2015 1:33,74.51569628,321.5165465,7,31,3,20/12/2012 1:39,1073373
2215,6959,0,48,449,444.73,,1,1991-01-03T00:00:00.000,,-1,695948,09/06/2015 1:33,86.35250421,444.7270475,7,31,3,20/12/2012 1:39,1073373
2216,6957,0,64,286,278.99,,1,1991-01-03T00:00:00.000,,-1,695764,09/06/2015 1:33,76.56843672,278.98531,7,31,3,20/12/2012 1:39,1073373
2267,6963,0,15,331,332.04,,1,1991-01-03T00:00:00.000,,-1,696315,09/06/2015 1:33,74.6820508,332.037117,7,31,3,20/12/2012 1:39,1073373
2270,6958,0,133,1,0.63,2012-12-24T00:00:00.000,2,1991-01-03T00:00:00.000,,-1,6958133,09/06/2015 1:33,3.918134921,0.629835,7,31,3,20/12/2012 1:39,1073373
2272,6958,0,146,11,16.12,2012-12-24T00:00:00.000,2,1991-01-03T00:00:00.000,,-1,6958146,09/06/2015 1:33,25.22490617,16.1210705,7,31,3,20/12/2012 1:39,1073373
2274,6212,0,483,2404,2424.86,,1,1991-01-03T00:00:00.000,,-1,6212483,09/06/2015 1:33,501.5080507,2424.862489,7,31,3,20/12/2012 1:39,1073373
2275,6959,0,75,6059,6035.39,,2,1991-01-03T00:00:00.000,,-1,695975,09/06/2015 1:33,372.7561656,6035.391011,7,31,3,20/12/2012 1:39,1073373
2312,6958,0,161,293,293.91,2012-12-24T00:00:00.000,1,1991-01-03T00:00:00.000,,-1,6958161,09/06/2015 1:33,76.60794256,293.9083055,7,31,3,20/12/2012 1:39,1073373
