OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
4504,6905,0,84,4084,4070.03,,2,1991-01-03T00:00:00.000,,-1,690584,09/06/2015 1:33,306.8513395,4070.025652,16,51,5,20/12/2012 1:39,866852
4508,6909,0,70,323,347.92,,1,1991-01-03T00:00:00.000,,-1,690970,09/06/2015 1:33,84.94250691,347.921164,16,51,5,20/12/2012 1:39,866852
4509,6911,0,53,287,281.75,,1,1991-01-03T00:00:00.000,,-1,691153,09/06/2015 1:33,67.93773283,281.753883,16,51,5,20/12/2012 1:39,866852
4510,6911,0,107,396,391.13,,1,1991-01-03T00:00:00.000,,-1,6911107,09/06/2015 1:33,87.28200992,391.1281075,16,51,5,20/12/2012 1:39,866852
4511,6910,0,88,594,596.42,,0,1899-12-30T00:00:00.000,,-1,691088,09/06/2015 1:33,106.2965084,596.419723,16,51,5,20/12/2012 1:39,866852
4513,6909,0,71,249,245.84,,1,1991-01-03T00:00:00.000,,-1,690971,09/06/2015 1:33,74.92971518,245.839265,16,51,5,20/12/2012 1:39,866852
4514,6910,0,61,557,565.41,,1,1991-01-03T00:00:00.000,,-1,691061,09/06/2015 1:33,96.64043044,565.413945,16,51,5,20/12/2012 1:39,866852
4515,6913,0,47,294,288.71,,0,1991-01-03T00:00:00.000,,-1,691347,09/06/2015 1:33,83.797572,288.713825,16,51,5,20/12/2012 1:39,866852
4516,6911,0,108,404,408.4,,1,1991-01-03T00:00:00.000,,-1,6911108,09/06/2015 1:33,88.69069012,408.396572,16,51,5,20/12/2012 1:39,866852
4576,6909,0,94,590,576.8,,1,1991-01-03T00:00:00.000,,-1,690994,09/06/2015 1:33,96.17734009,576.800392,16,51,5,20/12/2012 1:39,866852
4599,6911,0,116,406,400.13,,1,1991-01-03T00:00:00.000,,-1,6911116,09/06/2015 1:33,84.23004044,400.128963,16,51,5,20/12/2012 1:39,866852
4600,6911,0,83,290,287.88,,1,1991-01-03T00:00:00.000,,-1,691183,09/06/2015 1:33,75.86721754,287.8771405,16,51,5,20/12/2012 1:39,866852
4601,6911,0,52,274,275.48,,1,1991-01-03T00:00:00.000,,-1,691152,09/06/2015 1:33,68.35066623,275.4795515,16,51,5,20/12/2012 1:39,866852
4724,6907,0,92,426,422.91,,1,1991-01-03T00:00:00.000,,-1,690792,09/06/2015 1:33,83.08968011,422.9114655,16,51,5,20/12/2012 1:39,866852
4981,6910,0,12,272,273.2,,1,1991-01-03T00:00:00.000,,-1,691012,09/06/2015 1:33,75.02349318,273.200205,16,51,5,20/12/2012 1:39,866852
4983,6910,0,89,20,21.7,,0,1899-12-30T00:00:00.000,,-1,691089,09/06/2015 1:33,37.36452875,21.7049545,16,51,5,20/12/2012 1:39,866852
5004,6911,0,129,401,397.58,,0,1991-01-03T00:00:00.000,,-1,6911129,09/06/2015 1:33,86.74691758,397.581849,16,51,5,20/12/2012 1:39,866852
5005,6910,0,58,866,860.14,,0,1991-01-03T00:00:00.000,,-1,691058,09/06/2015 1:33,118.4045384,860.138703,16,51,5,20/12/2012 1:39,866852
5009,6911,0,57,287,290.11,,1,1991-01-03T00:00:00.000,,-1,691157,09/06/2015 1:33,69.3865224,290.1051595,16,51,5,20/12/2012 1:39,866852
5010,6910,0,11,271,273,,1,1991-01-03T00:00:00.000,,-1,691011,09/06/2015 1:33,74.94916133,273.002912,16,51,5,20/12/2012 1:39,866852
6302,6907,0,67,383,386.23,,1,1991-01-03T00:00:00.000,,-1,690767,09/06/2015 1:33,81.24418412,386.2322425,16,51,5,20/12/2012 1:39,866852
6309,6907,0,83,451,449.49,,1,1991-01-03T00:00:00.000,,-1,690783,09/06/2015 1:33,92.63784201,449.4945625,16,51,5,20/12/2012 1:39,866852
6312,6911,0,163,42,52.53,,2,1899-12-30T00:00:00.000,,-1,6911163,09/06/2015 1:33,40.92546211,52.532933,16,51,5,20/12/2012 1:39,866852
6313,6911,0,162,537,543.06,,0,1991-01-03T00:00:00.000,,-1,6911162,09/06/2015 1:33,98.39741207,543.059103,16,51,5,20/12/2012 1:39,866852
6336,6911,0,120,395,388.09,,1,1991-01-03T00:00:00.000,,-1,6911120,09/06/2015 1:33,84.84876899,388.089566,16,51,5,20/12/2012 1:39,866852
6337,6911,0,113,405,398.13,,1,1991-01-03T00:00:00.000,,-1,6911113,09/06/2015 1:33,87.39941419,398.1337995,16,51,5,20/12/2012 1:39,866852
